address_street,city,state,county,zip,violation_type,status,date_opened,case_id,parcel,latitude,longitude
1318 E APPLEGATE DRIVE,Austin,TX,Travis,78753,Work Without Permit,Active,2026-05-08T00:00:00.000,2026-057766 CC,0241260312,30.36336578,-97.67037168
110 JACOB FONTAINE LANE Unit 466,Austin,TX,Travis,78752,Structure Condition Violation(s),Active,2026-05-08T00:00:00.000,2026-057951 CC,0227110114,30.32576139,-97.71519031
1406 E APPLEGATE DRIVE,Austin,TX,Travis,78753,Work Without Permit,Active,2026-05-08T00:00:00.000,2026-057735 CC,0241260307,30.36333204,-97.66954163
1320 E APPLEGATE DRIVE,Austin,TX,Travis,78753,Work Without Permit,Active,2026-05-08T00:00:00.000,2026-057765 CC,0241260311,30.36336143,-97.67016247
1623 FOREST TRL,Austin,TX,Travis,,Property Abatement,Active,2026-05-08T00:00:00.000,2026-057875 CC,,,
3824 SOUTHWAY DRIVE,Austin,TX,Travis,78704,Property Abatement,Active,2026-05-08T00:00:00.000,2026-058024 CC,0407070102,30.23030176,-97.77588503
1402 E APPLEGATE DRIVE,Austin,TX,Travis,78753,Work Without Permit,Active,2026-05-08T00:00:00.000,2026-057757 CC,0241260309,30.36336068,-97.66986118
412 E WILLIAM CANNON DRIVE Unit 1402,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-08T00:00:00.000,2026-058048 CC,0422050111,30.19259606,-97.77497082
1071 CLAYTON LANE Unit 1211,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-05-08T00:00:00.000,2026-057912 CC,0224140504,30.31852904,-97.70341904
12406 CORONET STREET,Austin,TX,Travis,78727,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057177 CC,0264080418,30.42229052,-97.71975338
7703 BIXLER DRIVE,Austin,TX,Travis,78744,Work Without Permit,Active,2026-05-07T00:00:00.000,2026-057089 CC,0332031104,30.162652,-97.74384705
7000 BRYN MAWR COVE,Austin,TX,Travis,78723,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057169 CC,0224270412,30.31625459,-97.6670751
401 LITTLE TEXAS LANE BLDG 20 UNIT 2024,Austin,TX,Travis,78745,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057657 CC,0420050221,30.20067456,-97.77253731
4323 S CONGRESS AVENUE Unit 1209,Austin,TX,Travis,78745,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057215 CC,0412040901,30.21845284,-97.76444964
2005 WILLOW CREEK DRIVE BLDG 18 Unit 1081,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057286 CC,0308060301,30.23205261,-97.72860737
2601 S PLEASANT VALLEY ROAD 531,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057302 CC,0309061001,30.22438247,-97.72917527
1301 BLAKENEY LANE,Austin,TX,Travis,78753,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057040 CC,0250280801,30.38471975,-97.659129
706 SHADE TREE DRIVE,Austin,TX,Travis,78748,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057314 CC,0434150101,30.16081014,-97.81263667
2201 W WILLIAM CANNON DRIVE,Austin,TX,Travis,78745,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057298 CC,0416180510,30.20344325,-97.80920017
907 VALDEZ STREET,Austin,TX,Travis,78741,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057494 CC,0306180613,30.23286485,-97.69305369
7005 BENNETT AVENUE,Austin,TX,Travis,78752,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057119 CC,0229150414,30.32982787,-97.70088847
5800 WELLINGTON DRIVE,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057433 CC,0221190711,30.31066808,-97.68829387
7004 BRYN MAWR COVE,Austin,TX,Travis,78723,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057179 CC,0224270410,30.31642588,-97.66671531
2203 MISSION HILL CIRCLE,Austin,TX,Travis,78741,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057082 CC,0313040723,30.2168309,-97.73992446
9837 CHILDRESS DRIVE,Austin,TX,Travis,78753,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057653 CC,0240240804,30.35857843,-97.67426848
303 JOHN NANCE GARNER CIRCLE Unit 210,Austin,TX,Travis,78753,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057633 CC,0235150711,30.34784295,-97.69968967
2212 MISSION HILL CIRCLE,Austin,TX,Travis,78741,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057078 CC,0311040909,30.2172493,-97.7388555
8204 SAM RAYBURN DRIVE,Austin,TX,Travis,78753,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057452 CC,0235150716,30.34672426,-97.70012612
11702 NATRONA DRIVE,Austin,TX,Travis,78759,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056799 CC,0260040132,30.41518317,-97.74170267
2401 SAN GABRIEL STREET Unit 308,Austin,TX,Travis,78705,Property Abatement,Active,2026-05-06T00:00:00.000,2026-057018 CC,0214010703,30.28842038,-97.74746098
1815 MILES AVENUE,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056519 CC,0417160523,30.20508528,-97.80251729
8527 N CAPITAL OF TEXAS HIGHWAY,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056388 CC,0150050125,30.38609729,-97.76435808
505 SWANEE DRIVE Unit 102,Austin,TX,Travis,78752,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056866 CC,0231110301,30.33499879,-97.71527255
